TIME,I_L,J_L,I_R,J_R,i_a,j_a,r_a
0.0,663.5,230.5,695.5,229.5,693.5,354.5,345.8
0.0333289440993788,663.5,231.5,695.5,229.5,693.5,354.5,345.8
0.0666578881987577,663.5,232.5,695.5,229.5,693.5,354.5,345.8
0.0999868322981366,663.5,232.5,695.5,229.5,693.5,354.5,345.8
0.1333157763975155,663.5,234.5,695.5,229.5,693.5,354.5,345.8
0.1666447204968944,664.5,235.5,695.5,230.5,693.5,354.5,345.8
0.1999736645962733,664.5,235.5,695.5,229.5,693.5,354.5,345.8
0.2333026086956521,663.5,236.5,695.5,230.5,693.5,354.5,345.8
0.266631552795031,664.5,237.5,695.5,230.5,693.5,354.5,345.8
0.2999604968944099,664.5,238.5,695.5,230.5,693.5,354.5,345.8
0.3332894409937888,664.5,239.5,695.5,231.5,693.5,354.5,345.8
0.3666183850931677,664.5,240.5,694.5,231.5,693.5,354.5,345.8
0.3999473291925466,664.5,240.5,695.5,231.5,693.5,354.5,345.8
0.4332762732919255,664.5,241.5,694.5,231.5,693.5,354.5,345.8
0.4666052173913043,665.5,243.5,694.5,231.5,693.5,354.5,345.8
0.4999341614906832,665.5,243.5,694.5,231.5,693.5,354.5,345.8
0.5332631055900621,665.5,244.5,694.5,231.5,693.5,354.5,345.8
0.566592049689441,665.5,245.5,694.5,231.5,693.5,354.5,345.8
0.5999209937888199,666.5,246.5,695.5,232.5,693.5,354.5,345.8
0.6332499378881987,666.5,247.5,694.5,232.5,693.5,354.5,345.8
0.6665788819875776,666.5,247.5,694.5,232.5,693.5,354.5,345.8
0.6999078260869566,667.5,248.5,694.5,232.5,693.5,354.5,345.8
0.7332367701863354,667.5,249.5,694.5,232.5,693.5,354.5,345.8
0.7665657142857143,668.5,250.5,695.5,233.5,693.5,354.5,345.8
0.7998946583850932,668.5,250.5,695.5,233.5,693.5,354.5,345.8
0.833223602484472,669.5,251.5,695.5,233.5,693.5,354.5,345.8
0.866552546583851,669.5,252.5,695.5,233.5,693.5,354.5,345.8
0.8998814906832299,670.5,252.5,695.5,233.5,693.5,354.5,345.8
0.9332104347826088,670.5,253.5,695.5,233.5,693.5,354.5,345.8
0.9665393788819876,671.5,254.5,695.5,233.5,693.5,354.5,345.8
0.9998683229813664,671.5,255.5,696.5,234.5,693.5,354.5,345.8
1.0331972670807454,672.5,255.5,696.5,234.5,693.5,354.5,345.8
1.066526211180124,673.5,256.5,696.5,234.5,693.5,354.5,345.8
1.099855155279503,673.5,256.5,696.5,234.5,693.5,354.5,345.8
1.133184099378882,674.5,257.5,696.5,234.5,693.5,354.5,345.8
1.166513043478261,675.5,258.5,696.5,234.5,693.5,354.5,345.8
1.1998419875776398,675.5,258.5,696.5,234.5,693.5,354.5,345.8
1.2331709316770187,676.5,259.5,696.5,234.5,693.5,354.5,345.8
1.2664998757763974,676.5,259.5,696.5,234.5,693.5,354.5,345.8
1.2998288198757764,677.5,260.5,697.5,234.5,693.5,354.5,345.8
1.3331577639751553,678.5,260.5,697.5,235.5,693.5,354.5,345.8
1.3664867080745342,679.5,261.5,697.5,235.5,693.5,354.5,345.8
1.3998156521739131,679.5,261.5,697.5,234.5,693.5,354.5,345.8
1.433144596273292,680.5,261.5,698.5,235.5,693.5,354.5,345.8
1.4664735403726707,681.5,262.5,698.5,235.5,693.5,354.5,345.8
1.4998024844720497,682.5,262.5,698.5,235.5,693.5,354.5,345.8
1.5331314285714286,683.5,263.5,698.5,235.5,693.5,354.5,345.8
1.5664603726708075,683.5,263.5,699.5,235.5,693.5,354.5,345.8
1.5997893167701864,684.5,263.5,699.5,235.5,693.5,354.5,345.8
1.6331182608695654,684.5,263.5,699.5,235.5,693.5,354.5,345.8
1.666447204968944,684.5,263.5,699.5,235.5,693.5,354.5,345.8
1.699776149068323,684.5,263.5,699.5,235.5,693.5,354.5,345.8
1.733105093167702,684.5,263.5,699.5,235.5,693.5,354.5,345.8
1.7664340372670808,684.5,263.5,699.5,235.5,693.5,354.5,345.8
1.7997629813664595,684.5,263.5,700.5,235.5,693.5,354.5,345.8
1.8330919254658389,684.5,263.5,699.5,235.5,693.5,354.5,345.8
1.8664208695652171,684.5,263.5,699.5,235.5,693.5,354.5,345.8
1.8997498136645965,684.5,263.5,700.5,235.5,693.5,354.5,345.8
1.9330787577639752,684.5,263.5,700.5,235.5,693.5,354.5,345.8
1.966407701863354,684.5,263.5,700.5,235.5,693.5,354.5,345.8
1.999736645962733,684.5,263.5,700.5,236.5,693.5,354.5,345.8
2.033065590062112,684.5,264.5,700.5,236.5,693.5,354.5,345.8
2.066394534161491,684.5,264.5,700.5,236.5,693.5,354.5,345.8
2.0997234782608696,684.5,264.5,700.5,236.5,693.5,354.5,345.8
2.1330524223602483,684.5,264.5,700.5,236.5,693.5,354.5,345.8
2.1663813664596274,684.5,264.5,700.5,236.5,693.5,354.5,345.8
2.199710310559006,684.5,264.5,701.5,237.5,693.5,354.5,345.8
2.2330392546583853,684.5,264.5,701.5,237.5,693.5,354.5,345.8
2.266368198757764,684.5,264.5,701.5,237.5,693.5,354.5,345.8
2.299697142857143,684.5,264.5,701.5,237.5,693.5,354.5,345.8
2.333026086956522,684.5,264.5,701.5,238.5,693.5,354.5,345.8
2.3663550310559005,684.5,264.5,701.5,238.5,693.5,354.5,345.8
2.39968397515528,684.5,265.5,702.5,238.5,693.5,354.5,345.8
2.4330129192546583,684.5,265.5,702.5,238.5,693.5,354.5,345.8
2.466341863354037,684.5,265.5,702.5,238.5,693.5,354.5,345.8
2.499670807453416,684.5,265.5,702.5,239.5,693.5,354.5,345.8
2.532999751552795,684.5,265.5,702.5,239.5,693.5,354.5,345.8
2.566328695652174,684.5,265.5,703.5,239.5,693.5,354.5,345.8
2.5996576397515527,684.5,266.5,703.5,240.5,693.5,354.5,345.8
2.632986583850932,684.5,266.5,703.5,240.5,693.5,354.5,345.8
2.6663155279503106,684.5,266.5,703.5,240.5,693.5,354.5,345.8
2.6996444720496897,684.5,266.5,704.5,241.5,693.5,354.5,345.8
2.7329734161490684,684.5,266.5,704.5,241.5,693.5,354.5,345.8
2.766302360248447,684.5,267.5,704.5,241.5,693.5,354.5,345.8
2.7996313043478263,684.5,267.5,704.5,241.5,693.5,354.5,345.8
2.832960248447205,683.5,266.5,704.5,242.5,693.5,354.5,345.8
2.866289192546584,683.5,266.5,705.5,242.5,693.5,354.5,345.8
2.899618136645963,683.5,266.5,705.5,243.5,693.5,354.5,345.8
2.932947080745341,684.5,267.5,705.5,243.5,693.5,354.5,345.8
2.9662760248447206,684.5,267.5,705.5,244.5,693.5,354.5,345.8
2.9996049689441,684.5,267.5,706.5,244.5,693.5,354.5,345.8
3.0329339130434785,684.5,268.5,706.5,245.5,693.5,354.5,345.8
3.066262857142857,684.5,268.5,706.5,245.5,693.5,354.5,345.8
3.099591801242236,684.5,268.5,706.5,245.5,693.5,354.5,345.8
3.132920745341615,684.5,268.5,707.5,246.5,693.5,354.5,345.8
3.1662496894409937,683.5,268.5,707.5,246.5,693.5,354.5,345.8
3.199578633540373,683.5,269.5,707.5,247.5,693.5,354.5,345.8
3.232907577639752,683.5,268.5,707.5,247.5,693.5,354.5,345.8
3.2662365217391307,683.5,269.5,707.5,248.5,693.5,354.5,345.8
3.2995654658385094,683.5,269.5,707.5,248.5,693.5,354.5,345.8
3.332894409937888,683.5,269.5,708.5,248.5,693.5,354.5,345.8
3.3662233540372672,683.5,269.5,708.5,249.5,693.5,354.5,345.8
3.399552298136646,683.5,269.5,708.5,249.5,693.5,354.5,345.8
3.432881242236025,683.5,270.5,708.5,250.5,693.5,354.5,345.8
3.466210186335404,683.5,270.5,708.5,250.5,693.5,354.5,345.8
3.4995391304347825,683.5,270.5,708.5,250.5,693.5,354.5,345.8
3.5328680745341616,683.5,270.5,708.5,251.5,693.5,354.5,345.8
3.5661970186335403,683.5,270.5,708.5,251.5,693.5,354.5,345.8
3.5995259627329195,682.5,270.5,709.5,252.5,693.5,354.5,345.8
3.632854906832298,683.5,271.5,708.5,252.5,693.5,354.5,345.8
3.666183850931677,683.5,271.5,708.5,252.5,693.5,354.5,345.8
3.699512795031056,683.5,271.5,708.5,252.5,693.5,354.5,345.8
3.7328417391304343,683.5,271.5,709.5,252.5,693.5,354.5,345.8
3.766170683229814,683.5,271.5,709.5,252.5,693.5,354.5,345.8
3.799499627329193,683.5,271.5,709.5,253.5,693.5,354.5,345.8
3.832828571428572,683.5,271.5,709.5,253.5,693.5,354.5,345.8
3.8661575155279504,683.5,271.5,709.5,253.5,693.5,354.5,345.8
3.899486459627329,682.5,271.5,709.5,253.5,693.5,354.5,345.8
3.932815403726708,683.5,271.5,709.5,253.5,693.5,354.5,345.8
3.966144347826087,682.5,271.5,709.5,253.5,693.5,354.5,345.8
3.999473291925466,682.5,271.5,709.5,253.5,693.5,354.5,345.8
4.032802236024845,682.5,271.5,709.5,254.5,693.5,354.5,345.8
4.066131180124224,682.5,271.5,709.5,254.5,693.5,354.5,345.8
4.099460124223603,682.5,271.5,709.5,254.5,693.5,354.5,345.8
4.132789068322982,682.5,271.5,709.5,254.5,693.5,354.5,345.8
4.16611801242236,682.5,272.5,709.5,255.5,693.5,354.5,345.8
4.199446956521739,682.5,272.5,709.5,255.5,693.5,354.5,345.8
4.232775900621118,682.5,272.5,709.5,255.5,693.5,354.5,345.8
4.266104844720497,682.5,272.5,709.5,256.5,693.5,354.5,345.8
4.299433788819876,682.5,272.5,709.5,256.5,693.5,354.5,345.8
4.332762732919255,682.5,272.5,710.5,257.5,693.5,354.5,345.8
4.366091677018634,682.5,272.5,710.5,257.5,693.5,354.5,345.8
4.399420621118012,682.5,273.5,709.5,257.5,693.5,354.5,345.8
4.432749565217391,682.5,273.5,710.5,258.5,693.5,354.5,345.8
4.4660785093167705,681.5,273.5,709.5,258.5,693.5,354.5,345.8
4.499407453416149,681.5,273.5,710.5,258.5,693.5,354.5,345.8
4.532736397515528,681.5,273.5,710.5,259.5,693.5,354.5,345.8
4.566065341614907,681.5,273.5,709.5,259.5,693.5,354.5,345.8
4.599394285714286,681.5,273.5,710.5,260.5,693.5,354.5,345.8
4.6327232298136645,681.5,274.5,710.5,260.5,693.5,354.5,345.8
4.666052173913044,681.5,274.5,710.5,261.5,693.5,354.5,345.8
4.699381118012423,681.5,274.5,710.5,261.5,693.5,354.5,345.8
4.732710062111801,680.5,274.5,709.5,261.5,693.5,354.5,345.8
4.76603900621118,680.5,274.5,710.5,262.5,693.5,354.5,345.8
4.799367950310559,680.5,275.5,709.5,262.5,693.5,354.5,345.8
4.8326968944099375,680.5,275.5,710.5,263.5,693.5,354.5,345.8
4.866025838509317,680.5,275.5,709.5,263.5,693.5,354.5,345.8
4.899354782608696,680.5,275.5,710.5,264.5,693.5,354.5,345.8
4.932683726708075,680.5,275.5,709.5,264.5,693.5,354.5,345.8
4.966012670807453,679.5,276.5,709.5,265.5,693.5,354.5,345.8
4.999341614906832,679.5,275.5,709.5,265.5,693.5,354.5,345.8
5.032670559006212,679.5,276.5,709.5,266.5,693.5,354.5,345.8
5.06599950310559,679.5,276.5,709.5,266.5,693.5,354.5,345.8
5.099328447204969,679.5,276.5,709.5,267.5,693.5,354.5,345.8
5.132657391304348,679.5,276.5,709.5,267.5,693.5,354.5,345.8
5.165986335403727,679.5,277.5,709.5,268.5,693.5,354.5,345.8
5.1993152795031055,678.5,277.5,709.5,268.5,693.5,354.5,345.8
5.232644223602485,678.5,277.5,709.5,269.5,693.5,354.5,345.8
5.265973167701864,678.5,277.5,709.5,269.5,693.5,354.5,345.8
5.299302111801242,678.5,277.5,709.5,270.5,693.5,354.5,345.8
5.332631055900621,678.5,277.5,709.5,270.5,693.5,354.5,345.8
5.36596,678.5,277.5,708.5,270.5,693.5,354.5,345.8
5.399288944099379,677.5,277.5,708.5,271.5,693.5,354.5,345.8
5.432617888198758,677.5,278.5,708.5,272.5,693.5,354.5,345.8
5.465946832298137,677.5,278.5,708.5,272.5,693.5,354.5,345.8
5.499275776397516,677.5,278.5,708.5,272.5,693.5,354.5,345.8
5.532604720496894,677.5,278.5,708.5,273.5,693.5,354.5,345.8
5.565933664596273,677.5,278.5,708.5,273.5,693.5,354.5,345.8
5.5992626086956525,676.5,279.5,708.5,274.5,693.5,354.5,345.8
5.632591552795031,676.5,279.5,707.5,274.5,693.5,354.5,345.8
5.66592049689441,676.5,278.5,707.5,275.5,693.5,354.5,345.8
5.699249440993789,676.5,279.5,707.5,275.5,693.5,354.5,345.8
5.732578385093168,676.5,279.5,707.5,276.5,693.5,354.5,345.8
5.765907329192546,676.5,279.5,707.5,275.5,693.5,354.5,345.8
5.799236273291926,676.5,279.5,707.5,276.5,693.5,354.5,345.8
5.832565217391305,675.5,279.5,707.5,276.5,693.5,354.5,345.8
5.865894161490683,675.5,279.5,707.5,276.5,693.5,354.5,345.8
